ID,Name,Email,Credit Score
1,Mrs Barbara Noble,mrs.noble@aol.com,842
2,Marcus Collins,marcus.collins@gmail.com,620
3,Mr Justin Singh,yscott@icloud.com,515
4,Dr Antony Davies,dr.davies@live.com,688
5,Mr Victor Hammond,aliceanderson@aol.com,302
6,Mr Billy Brown,mr.brown@mail.com,553
7,Zoe O'Neill,zoe@icloud.com,648
8,Andrea Garner,andrea64@hotmail.com,450
9,Clive Reid,clive.reid@aol.com,386
10,Lewis Matthews,lewis35@mail.com,468
11,Dr Beverley Grant,nrowe@live.com,682
12,Natasha Gough,natasha.gough@icloud.com,301
13,Roger Ellis,roger35@yahoo.com,390
14,Linda Butler,linda@live.com,520
15,Ms Jayne Shepherd,georgehall@mail.com,509
16,Jacqueline Clarke-Hope,jacqueline@mail.com,833
17,Bryan O'Connor-Lloyd,bryan@aol.com,682
18,Anne Owen,anne30@live.com,826
19,Mr Joseph Harrison,browngeraldine@outlook.com,643
20,Richard Scott,richard@hotmail.com,301
21,Carly Shaw,carly@icloud.com,850
22,Ms Joanna Edwards,ms35@gmail.com,751
23,Dr Nicole Bryant,dixonrussell@aol.com,421
24,Kathryn Watson,kathryn@outlook.com,681
25,Lorraine Simmons,lorraine.simmons@hotmail.com,567
26,Gregory Page-Allen,gregory77@yahoo.com,778
27,Mr Antony Butler,mr@aol.com,619
28,Katherine Hunt,hilaryedwards@gmail.com,562
29,Joe Freeman,joe@gmail.com,456
30,Valerie Young,valerie.young@yahoo.com,743
31,Mohammed Knight-Bibi,mohammed@gmail.com,487
32,Deborah Jackson,deborah.jackson@gmail.com,728
33,Derek Higgins-Turner,derek@yahoo.com,757
34,Stewart Talbot,stewart.talbot@hotmail.com,589
35,Robert Jones,robert.jones@hotmail.com,405
36,Rita Fuller-Holmes,rita76@hotmail.com,608
37,Ms Harriet Lewis,ms.lewis@mail.com,541
38,Ricky Wilson,uyates@aol.com,603
39,Graeme Hart,graeme43@icloud.com,574
40,Melissa Allen,melissa@mail.com,701
41,Jemma Cooper-White,jemma43@yahoo.com,830
42,Rachel Davies,rachel68@icloud.com,621
43,Angela Patel,angela94@icloud.com,380
44,Aaron Watson-Kent,aaron.watson-kent@mail.com,422
45,Mr Jonathan O'Donnell,mr@live.com,346
46,Dr Stewart Clayton,kathrynfox@yahoo.com,407
47,Dr Sandra Brown,hmurray@gmail.com,497
48,Mr Jeffrey Knowles,mr51@live.com,749
49,Miss Hayley Parker,miss71@hotmail.com,470
50,Cameron Wilson,cameron86@aol.com,605
51,Cameron Palmer-Thornton,cameron.palmer-thornton@icloud.com,707
52,Abigail Green,abigail95@yahoo.com,623
53,Marion Allen,marion.allen@live.com,469
54,Phillip Day,phillip@yahoo.com,721
